SampleID,classe originale,classe finale,Action,Class Change?,NEW CLASS
97_rep110322,DSS_T5,DSS_T5,Keep,FALSE,DSS_T5
Feci_DSS-T5_B912_28022024,DSS_T5,DSS_T5,Keep,FALSE,DSS_T5
Feci_DSS-T5_T5.6_28022024,DSS_T5,DSS_T5,Keep,FALSE,DSS_T5
Feci_DSS-T5_T5.7_28022024,DSS_T5,DSS_T5,Keep,FALSE,DSS_T5
126_110322,DSS_T5,DSS_T5,Keep,FALSE,DSS_T5
70_feci_09032022,DSS_T5,DSS_T5,Keep,FALSE,DSS_T5
129_110322,DSS_T5,DSS,Keep,TRUE,DSS
124_110322,DSS_T5,DSS_T5,Keep,FALSE,DSS_T5
125_110322,DSS_T5,DSS_T5,Keep,FALSE,DSS_T5
Feci_DSS-T5_128_28022024,DSS_T5,DSS_T5,Keep,FALSE,DSS_T5
Feci_DSS-T5_B911_28022024,DSS_T5,DSS_T5,Keep,FALSE,DSS_T5
Feci_DSS-T5_T5.5_28022024,DSS_T5,DSS_T6,Keep,TRUE,DSS_T6
Feci_DSS-T5_T5.8_28022024,DSS_T5,DSS_T6,Keep,TRUE,DSS_T6
